Date,Area,DataSeries,OBS_Value
2021-07-01,IT,Retail_Trade,111.1
2021-06-01,IT,Retail_Trade,105.4
2021-05-01,IT,Retail_Trade,105.4
2021-04-01,IT,Retail_Trade,103.3
2021-03-01,IT,Retail_Trade,104.3
2021-02-01,IT,Retail_Trade,91.6
2021-01-01,IT,Retail_Trade,101.5
2020-12-01,IT,Retail_Trade,124.7
2020-11-01,IT,Retail_Trade,98.7
2020-10-01,IT,Retail_Trade,113.8
2020-09-01,IT,Retail_Trade,104.3
2020-08-01,IT,Retail_Trade,105.1
2020-07-01,IT,Retail_Trade,105.2
2020-06-01,IT,Retail_Trade,102
2020-05-01,IT,Retail_Trade,97.3
2020-04-01,IT,Retail_Trade,84.1
2020-03-01,IT,Retail_Trade,89.6
2020-02-01,IT,Retail_Trade,97.5
2020-01-01,IT,Retail_Trade,103.4
2019-12-01,IT,Retail_Trade,128
2019-11-01,IT,Retail_Trade,108.1
2019-10-01,IT,Retail_Trade,108.1
2019-09-01,IT,Retail_Trade,103.5
2019-08-01,IT,Retail_Trade,104.8
2019-07-01,IT,Retail_Trade,110.1
2019-06-01,IT,Retail_Trade,103.8
2019-05-01,IT,Retail_Trade,101.5
2019-04-01,IT,Retail_Trade,102
2019-03-01,IT,Retail_Trade,100.6
2019-02-01,IT,Retail_Trade,89.8
2019-01-01,IT,Retail_Trade,101
2018-12-01,IT,Retail_Trade,127.9
2018-11-01,IT,Retail_Trade,104.6
2018-10-01,IT,Retail_Trade,106.2
2018-09-01,IT,Retail_Trade,102.9
2018-08-01,IT,Retail_Trade,103.3
2018-07-01,IT,Retail_Trade,106.8
2018-06-01,IT,Retail_Trade,101.9
2018-05-01,IT,Retail_Trade,102
2018-04-01,IT,Retail_Trade,94.9
2018-03-01,IT,Retail_Trade,105.9
2018-02-01,IT,Retail_Trade,89.9
2018-01-01,IT,Retail_Trade,98.3
2017-12-01,IT,Retail_Trade,127.6
2017-11-01,IT,Retail_Trade,102.8
2017-10-01,IT,Retail_Trade,104.7
2017-09-01,IT,Retail_Trade,104.2
2017-08-01,IT,Retail_Trade,101
2017-07-01,IT,Retail_Trade,106.9
2017-06-01,IT,Retail_Trade,99.6
2017-05-01,IT,Retail_Trade,99.9
2017-04-01,IT,Retail_Trade,101.4
2017-03-01,IT,Retail_Trade,98.5
2017-02-01,IT,Retail_Trade,88.2
2017-01-01,IT,Retail_Trade,99.4
2016-12-01,IT,Retail_Trade,125.4
2016-11-01,IT,Retail_Trade,99.4
2016-10-01,IT,Retail_Trade,105.3
2016-09-01,IT,Retail_Trade,98.8
2016-08-01,IT,Retail_Trade,98.7
2016-07-01,IT,Retail_Trade,105.4
2016-06-01,IT,Retail_Trade,97
2016-05-01,IT,Retail_Trade,98.1
2016-04-01,IT,Retail_Trade,96.3
2016-03-01,IT,Retail_Trade,99.1
2016-02-01,IT,Retail_Trade,88.3
2016-01-01,IT,Retail_Trade,97.3
2015-12-01,IT,Retail_Trade,125.7
2015-11-01,IT,Retail_Trade,98.5
2015-10-01,IT,Retail_Trade,104.1
2015-09-01,IT,Retail_Trade,99.1
2015-08-01,IT,Retail_Trade,99.1
2015-07-01,IT,Retail_Trade,103.3
2015-06-01,IT,Retail_Trade,96.1
2015-05-01,IT,Retail_Trade,99.4
2015-04-01,IT,Retail_Trade,96.7
2015-03-01,IT,Retail_Trade,96.2
2015-02-01,IT,Retail_Trade,85.6
2015-01-01,IT,Retail_Trade,96.1
2014-12-01,IT,Retail_Trade,127
2014-11-01,IT,Retail_Trade,99.3
2014-10-01,IT,Retail_Trade,101.3
2014-09-01,IT,Retail_Trade,97.2
2014-08-01,IT,Retail_Trade,96.7
2014-07-01,IT,Retail_Trade,98.6
2014-06-01,IT,Retail_Trade,94.8
2014-05-01,IT,Retail_Trade,98.3
2014-04-01,IT,Retail_Trade,97.7
2014-03-01,IT,Retail_Trade,94.5
2014-02-01,IT,Retail_Trade,83
2014-01-01,IT,Retail_Trade,92.8
2013-12-01,IT,Retail_Trade,126.2
2013-11-01,IT,Retail_Trade,99.9
2013-10-01,IT,Retail_Trade,101.6
2013-09-01,IT,Retail_Trade,97.4
2013-08-01,IT,Retail_Trade,99.3
2013-07-01,IT,Retail_Trade,99.9
2013-06-01,IT,Retail_Trade,96.1
2013-05-01,IT,Retail_Trade,98.2
2013-04-01,IT,Retail_Trade,92.8
2013-03-01,IT,Retail_Trade,99.5
2013-02-01,IT,Retail_Trade,83.4
2013-01-01,IT,Retail_Trade,92
2012-12-01,IT,Retail_Trade,129.7
2012-11-01,IT,Retail_Trade,97.5
2012-10-01,IT,Retail_Trade,101.7
2012-09-01,IT,Retail_Trade,100
2012-08-01,IT,Retail_Trade,97.6
2012-07-01,IT,Retail_Trade,100.3
2012-06-01,IT,Retail_Trade,98.5
2012-05-01,IT,Retail_Trade,97.8
2012-04-01,IT,Retail_Trade,96.5
2012-03-01,IT,Retail_Trade,98.3
2012-02-01,IT,Retail_Trade,86.4
2012-01-01,IT,Retail_Trade,94.2
2011-12-01,IT,Retail_Trade,131.1
2011-11-01,IT,Retail_Trade,98.3
2011-10-01,IT,Retail_Trade,105.5
2011-09-01,IT,Retail_Trade,98.4
2011-08-01,IT,Retail_Trade,96.8
2011-07-01,IT,Retail_Trade,102.1
2011-06-01,IT,Retail_Trade,95.6
2011-05-01,IT,Retail_Trade,96.9
2011-04-01,IT,Retail_Trade,100.1
2011-03-01,IT,Retail_Trade,94.7
2011-02-01,IT,Retail_Trade,83.6
2011-01-01,IT,Retail_Trade,93.4
2010-12-01,IT,Retail_Trade,134.5
2010-11-01,IT,Retail_Trade,99.2
2010-10-01,IT,Retail_Trade,104.4
2010-09-01,IT,Retail_Trade,97.5
2010-08-01,IT,Retail_Trade,95.8
2010-07-01,IT,Retail_Trade,103.6
