Date,Area,DataSeries,OBS_Value
2021-07-01,IT,Lead_zinc_tin_prod,112.9
2021-06-01,IT,Lead_zinc_tin_prod,105.3
2021-05-01,IT,Lead_zinc_tin_prod,80.1
2021-04-01,IT,Lead_zinc_tin_prod,98.9
2021-03-01,IT,Lead_zinc_tin_prod,108.6
2021-02-01,IT,Lead_zinc_tin_prod,98.0
2021-01-01,IT,Lead_zinc_tin_prod,104.0
2020-12-01,IT,Lead_zinc_tin_prod,105.6
2020-11-01,IT,Lead_zinc_tin_prod,88.1
2020-10-01,IT,Lead_zinc_tin_prod,98.1
2020-09-01,IT,Lead_zinc_tin_prod,86.2
2020-08-01,IT,Lead_zinc_tin_prod,73.1
2020-07-01,IT,Lead_zinc_tin_prod,114.4
2020-06-01,IT,Lead_zinc_tin_prod,95.9
2020-05-01,IT,Lead_zinc_tin_prod,105.0
2020-04-01,IT,Lead_zinc_tin_prod,98.0
2020-03-01,IT,Lead_zinc_tin_prod,105.2
2020-02-01,IT,Lead_zinc_tin_prod,94.7
2020-01-01,IT,Lead_zinc_tin_prod,103.4
2019-12-01,IT,Lead_zinc_tin_prod,93.2
2019-11-01,IT,Lead_zinc_tin_prod,103.7
2019-10-01,IT,Lead_zinc_tin_prod,94.4
2019-09-01,IT,Lead_zinc_tin_prod,103.4
2019-08-01,IT,Lead_zinc_tin_prod,67.3
2019-07-01,IT,Lead_zinc_tin_prod,83.6
2019-06-01,IT,Lead_zinc_tin_prod,103.9
2019-05-01,IT,Lead_zinc_tin_prod,118.0
2019-04-01,IT,Lead_zinc_tin_prod,88.2
2019-03-01,IT,Lead_zinc_tin_prod,108.1
2019-02-01,IT,Lead_zinc_tin_prod,98.7
2019-01-01,IT,Lead_zinc_tin_prod,115.2
2018-12-01,IT,Lead_zinc_tin_prod,101.9
2018-11-01,IT,Lead_zinc_tin_prod,102.2
2018-10-01,IT,Lead_zinc_tin_prod,96.8
2018-09-01,IT,Lead_zinc_tin_prod,107.6
2018-08-01,IT,Lead_zinc_tin_prod,79.7
2018-07-01,IT,Lead_zinc_tin_prod,115.8
2018-06-01,IT,Lead_zinc_tin_prod,97.1
2018-05-01,IT,Lead_zinc_tin_prod,114.4
2018-04-01,IT,Lead_zinc_tin_prod,69.4
2018-03-01,IT,Lead_zinc_tin_prod,108.0
2018-02-01,IT,Lead_zinc_tin_prod,102.4
2018-01-01,IT,Lead_zinc_tin_prod,111.6
2017-12-01,IT,Lead_zinc_tin_prod,96.8
2017-11-01,IT,Lead_zinc_tin_prod,101.0
2017-10-01,IT,Lead_zinc_tin_prod,96.2
2017-09-01,IT,Lead_zinc_tin_prod,93.7
2017-08-01,IT,Lead_zinc_tin_prod,69.1
2017-07-01,IT,Lead_zinc_tin_prod,98.0
2017-06-01,IT,Lead_zinc_tin_prod,102.6
2017-05-01,IT,Lead_zinc_tin_prod,111.1
2017-04-01,IT,Lead_zinc_tin_prod,108.7
